business_id,date,description
1127,20160615,Permit license or inspection report not posted  [ date violation corrected: 6/15/2016 ]
1127,20160615,Unclean nonfood contact surfaces  [ date violation corrected: 10/4/2017 ]
1127,20160615,Improper food labeling or menu misrepresentation  [ date violation corrected: 6/15/2016 ]
1193,20180206,Unapproved or unmaintained equipment or utensils
1193,20180206,Unclean or degraded floors walls or ceilings
1193,20160128,Moderate risk food holding temperature   [ date violation corrected: 2/6/2018 ]
1193,20160128,Unclean or unsanitary food contact surfaces  [ date violation corrected: 2/6/2018 ]
1193,20160128,Moderate risk vermin infestation  [ date violation corrected: 2/6/2018 ]
1193,20160128,Unclean or degraded floors walls or ceilings  [ date violation corrected: 2/6/2018 ]
1269,20171017,Unclean or degraded floors walls or ceilings
1359,20180522,Moderate risk vermin infestation
1368,20180618,Wiping cloths not clean or properly stored or inadequate sanitizer
1368,20170227,Improper storage of equipment utensils or linens  [ date violation corrected: 6/18/2018 ]
1368,20160425,Unclean or unsanitary food contact surfaces  [ date violation corrected: 2/27/2017 ]
1368,20160425,Food safety certificate or food handler card not available  [ date violation corrected: 2/27/2017 ]
1444,20160408,Moderate risk vermin infestation  [ date violation corrected: 10/14/2016 ]
1486,20170913,Unclean or degraded floors walls or ceilings  [ date violation corrected: 7/18/2018 ]
1487,20180125,Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 6/12/2018 ]
1487,20180125,Unclean unmaintained or improperly constructed toilet facilities  [ date violation corrected: 6/12/2018 ]
1487,20180125,Inadequate and inaccessible handwashing facilities  [ date violation corrected: 1/25/2018 ]
1487,20161221,Unclean or degraded floors walls or ceilings  [ date violation corrected: 1/25/2018 ]
1487,20161221,Unclean nonfood contact surfaces  [ date violation corrected: 1/25/2018 ]
1487,20151016,Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 12/20/2016 ]
1487,20151016,High risk food holding temperature   [ date violation corrected: 12/20/2016 ]
1487,20151016,Unclean or degraded floors walls or ceilings  [ date violation corrected: 12/20/2016 ]
1487,20151016,Inadequate dressing rooms or improper storage of personal items  [ date violation corrected: 12/20/2016 ]
1487,20151016,Low risk vermin infestation  [ date violation corrected: 12/20/2016 ]
1493,20160331,Unclean nonfood contact surfaces  [ date violation corrected: 9/22/2016 ]
1493,20160331,Inadequate or unsanitary refuse containers or area or no garbage service  [ date violation corrected: 9/22/2016 ]
1493,20160331,Permit license or inspection report not posted  [ date violation corrected: 9/22/2016 ]
1493,20160331,Unclean or degraded floors walls or ceilings  [ date violation corrected: 9/22/2016 ]
1505,20171017,Moderate risk vermin infestation
1505,20151005,Moderate risk food holding temperature   [ date violation corrected: 8/22/2016 ]
1529,20180109,Unclean or degraded floors walls or ceilings
1529,20170518,Unclean or degraded floors walls or ceilings  [ date violation corrected: 1/9/2018 ]
1614,20171107,Inadequate dressing rooms or improper storage of personal items
1614,20171107,No thermometers or uncalibrated thermometers   [ date violation corrected: 11/7/2017 ]
1614,20171107,Unclean nonfood contact surfaces
1615,20180524,Unapproved or unmaintained equipment or utensils
1615,20170710,Inadequate warewashing facilities or equipment  [ date violation corrected: 5/24/2018 ]
1615,20170710,Unclean or degraded floors walls or ceilings  [ date violation corrected: 5/24/2018 ]
1615,20160504,Unclean or degraded floors walls or ceilings  [ date violation corrected: 7/10/2017 ]
1652,20180615,Inadequate food safety knowledge or lack of certified food safety manager  [ date violation corrected: 6/18/2018 ]
1652,20180615,Unclean or degraded floors walls or ceilings  [ date violation corrected: 6/18/2018 ]
1652,20180615,Permit license or inspection report not posted
1652,20180615,Unclean or unsanitary food contact surfaces  [ date violation corrected: 6/18/2018 ]
1652,20180615,High risk vermin infestation  [ date violation corrected: 6/18/2018 ]
1768,20180117,Inadequate sewage or wastewater disposal  [ date violation corrected: 1/31/2018 ]
1768,20180117,Low risk vermin infestation  [ date violation corrected: 7/18/2018 ]
1768,20170719,Insufficient hot water or running water  [ date violation corrected: 7/19/2017 ]
1768,20170719,Improper or defective plumbing  [ date violation corrected: 1/17/2018 ]
1768,20170719,Low risk vermin infestation  [ date violation corrected: 1/17/2018 ]
1768,20170719,Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 1/17/2018 ]
1768,20160705,Improper or defective plumbing  [ date violation corrected: 8/11/2016 ]
1768,20160705,No hot water or running water  [ date violation corrected: 7/6/2016 ]
1768,20160705,Moderate risk vermin infestation  [ date violation corrected: 8/11/2016 ]
1768,20151120,Unapproved or unmaintained equipment or utensils  [ date violation corrected: 7/5/2016 ]
1768,20151120,Unclean or unsanitary food contact surfaces  [ date violation corrected: 11/21/2015 ]
1768,20151120,Inadequate sewage or wastewater disposal  [ date violation corrected: 11/21/2015 ]
1768,20151120,Insufficient hot water or running water  [ date violation corrected: 7/5/2016 ]
1866,20180112,Unclean or degraded floors walls or ceilings
1866,20180112,Inadequately cleaned or sanitized food contact surfaces
1866,20170110,Insufficient hot water or running water  [ date violation corrected: 1/12/2018 ]
1866,20170110,Inadequate warewashing facilities or equipment  [ date violation corrected: 1/12/2017 ]
1866,20151120,Unapproved or unmaintained equipment or utensils  [ date violation corrected: 1/10/2017 ]
1866,20151120,Foods not protected from contamination  [ date violation corrected: 1/10/2017 ]
1866,20151120,Unclean or degraded floors walls or ceilings  [ date violation corrected: 1/10/2017 ]
1927,20171114,Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 11/14/2017 ]
1939,20180503,Unclean nonfood contact surfaces
1939,20170912,Unclean nonfood contact surfaces  [ date violation corrected: 5/3/2018 ]
1939,20161214,Unclean or degraded floors walls or ceilings  [ date violation corrected: 9/12/2017 ]
1939,20151006,Unapproved or unmaintained equipment or utensils  [ date violation corrected: 12/14/2016 ]
2072,20161003,Food safety certificate or food handler card not available  [ date violation corrected: 12/18/2017 ]
2072,20161003,Inadequate warewashing facilities or equipment  [ date violation corrected: 12/18/2017 ]
2072,20161003,Improper cooking time or temperatures  [ date violation corrected: 10/3/2016 ]
2072,20161003,Permit license or inspection report not posted  [ date violation corrected: 12/18/2017 ]
2072,20160325,Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 10/3/2016 ]
2077,20171214,Food safety certificate or food handler card not available
2077,20171214,Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 12/14/2017 ]
2077,20161018,Unapproved or unmaintained equipment or utensils  [ date violation corrected: 12/14/2017 ]
2077,20161018,Improper storage of equipment utensils or linens  [ date violation corrected: 12/14/2017 ]
2077,20161018,High risk vermin infestation  [ date violation corrected: 12/14/2017 ]
2077,20161018,Unclean or degraded floors walls or ceilings  [ date violation corrected: 12/14/2017 ]
2077,20161018,Improper storage use or identification of toxic substances  [ date violation corrected: 12/14/2017 ]
2077,20161018,Improper food storage  [ date violation corrected: 12/14/2017 ]
2077,20160120,Improper storage of equipment utensils or linens  [ date violation corrected: 10/18/2016 ]
2077,20160120,Non service animal  [ date violation corrected: 10/18/2016 ]
2136,20171030,Improper storage use or identification of toxic substances
2218,20170503,Inadequate warewashing facilities or equipment
2218,20170503,High risk vermin infestation  [ date violation corrected: 5/3/2017 ]
2244,20171010,Unclean or degraded floors walls or ceilings
2244,20160609,Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 6/9/2016 ]
2245,20170922,Unclean or degraded floors walls or ceilings
2245,20160419,Food safety certificate or food handler card not available  [ date violation corrected: 9/22/2017 ]
2245,20160419,Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 4/19/2016 ]
2245,20160419,Permit license or inspection report not posted  [ date violation corrected: 4/19/2016 ]
2299,20180808,Other low risk violation
2299,20160719,Inadequate and inaccessible handwashing facilities  [ date violation corrected: 6/9/2017 ]
2472,20180524,Unclean or degraded floors walls or ceilings
2495,20170601,Moderate risk food holding temperature   [ date violation corrected: 12/11/2017 ]
2535,20180731,Unclean or degraded floors walls or ceilings
2535,20180731,Improper storage of equipment utensils or linens
2535,20180731,Unapproved or unmaintained equipment or utensils
2535,20180731,Moderate risk vermin infestation
2535,20170505,Moderate risk vermin infestation  [ date violation corrected: 7/31/2018 ]
2535,20160812,Moderate risk vermin infestation  [ date violation corrected: 9/6/2016 ]
2578,20160406,Unclean or unsanitary food contact surfaces  [ date violation corrected: 11/28/2016 ]
2578,20160406,Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 11/28/2016 ]
2592,20180412,Unclean or degraded floors walls or ceilings
2592,20170309,High risk food holding temperature   [ date violation corrected: 4/12/2018 ]
2592,20170309,Unclean or degraded floors walls or ceilings  [ date violation corrected: 4/12/2018 ]
2592,20170309,Foods not protected from contamination  [ date violation corrected: 4/12/2018 ]
2756,20171201,Improper storage of equipment utensils or linens
2756,20170327,Improper or defective plumbing  [ date violation corrected: 3/28/2017 ]
2756,20170327,Sewage or wastewater contamination  [ date violation corrected: 3/28/2017 ]
2756,20160331,Improper or defective plumbing  [ date violation corrected: 4/15/2016 ]
2768,20160315,Moderate risk food holding temperature   [ date violation corrected: 2/17/2017 ]
2768,20160315,Moderate risk vermin infestation  [ date violation corrected: 2/17/2017 ]
2777,20171003,Food safety certificate or food handler card not available
2777,20171003,Inadequate warewashing facilities or equipment
2777,20171003,Improper food storage
2777,20160603,Improper food labeling or menu misrepresentation  [ date violation corrected: 6/3/2016 ]
2777,20160603,Inadequate and inaccessible handwashing facilities  [ date violation corrected: 10/3/2017 ]
2799,20180403,Permit license or inspection report not posted
2799,20180403,Wiping cloths not clean or properly stored or inadequate sanitizer
2805,20180418,Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 4/18/2018 ]
2805,20170302,Improper food storage  [ date violation corrected: 4/18/2018 ]
2810,20180308,Permit license or inspection report not posted
2810,20180308,Inadequate warewashing facilities or equipment
2810,20180308,Unclean or degraded floors walls or ceilings
2810,20170206,Unclean or degraded floors walls or ceilings  [ date violation corrected: 3/8/2018 ]
2810,20160209,Unclean or degraded floors walls or ceilings  [ date violation corrected: 2/6/2017 ]
2818,20180308,Inadequate dressing rooms or improper storage of personal items
2818,20180308,Wiping cloths not clean or properly stored or inadequate sanitizer
2818,20170724,Unclean or degraded floors walls or ceilings  [ date violation corrected: 3/8/2018 ]
2818,20160916,Food safety certificate or food handler card not available  [ date violation corrected: 7/24/2017 ]
2818,20160916,Moderate risk food holding temperature   [ date violation corrected: 7/24/2017 ]
2818,20160916,Improper food storage  [ date violation corrected: 7/24/2017 ]
2871,20180223,Moderate risk vermin infestation
2871,20170118,Moderate risk vermin infestation  [ date violation corrected: 2/23/2018 ]
2907,20171204,Unapproved or unmaintained equipment or utensils  [ date violation corrected: 3/20/2018 ]
2907,20171204,High risk vermin infestation  [ date violation corrected: 3/20/2018 ]
2907,20171204,Insufficient hot water or running water  [ date violation corrected: 3/20/2018 ]
2907,20171204,Inadequate and inaccessible handwashing facilities  [ date violation corrected: 12/4/2017 ]
3032,20171121,Unclean or degraded floors walls or ceilings  [ date violation corrected: 12/8/2017 ]
3420,20160901,Wiping cloths not clean or properly stored or inadequate sanitizer
3420,20160901,Improper storage of equipment utensils or linens
3420,20160901,Inadequate and inaccessible handwashing facilities
3420,20160901,Unauthorized or unsafe use of time as a public health control measure
3420,20150810,Inadequate and inaccessible handwashing facilities  [ date violation corrected: 9/1/2016 ]
3420,20150810,Improper or defective plumbing  [ date violation corrected: 9/1/2016 ]
4480,20180711,Unclean nonfood contact surfaces
4480,20171114,Unclean nonfood contact surfaces  [ date violation corrected: 7/11/2018 ]
4539,20171101,Moderate risk food holding temperature   [ date violation corrected: 11/17/2017 ]
4539,20171101,Unclean or degraded floors walls or ceilings  [ date violation corrected: 11/17/2017 ]
4539,20171101,Low risk vermin infestation  [ date violation corrected: 11/17/2017 ]
4539,20160602,Unclean or degraded floors walls or ceilings  [ date violation corrected: 11/1/2017 ]
4539,20160602,Permit license or inspection report not posted  [ date violation corrected: 11/1/2017 ]
4548,20180213,Improper or defective plumbing
4548,20180213,Unclean nonfood contact surfaces
4548,20170814,Insufficient hot water or running water  [ date violation corrected: 2/13/2018 ]
4548,20170814,Inadequate warewashing facilities or equipment  [ date violation corrected: 2/13/2018 ]
4548,20170814,Permit license or inspection report not posted  [ date violation corrected: 2/13/2018 ]
4548,20161025,Permit license or inspection report not posted  [ date violation corrected: 8/14/2017 ]
4548,20161025,Inadequate food safety knowledge or lack of certified food safety manager  [ date violation corrected: 8/14/2017 ]
4548,20160421,Food safety certificate or food handler card not available  [ date violation corrected: 10/25/2016 ]
4636,20180703,Wiping cloths not clean or properly stored or inadequate sanitizer
4636,20180703,Permit license or inspection report not posted
4636,20180703,Unclean or degraded floors walls or ceilings
4636,20170712,Inadequate and inaccessible handwashing facilities  [ date violation corrected: 7/3/2018 ]
4636,20170712,Unclean or degraded floors walls or ceilings  [ date violation corrected: 7/3/2018 ]
4636,20170712,Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 7/3/2018 ]
4636,20161214,Insufficient hot water or running water  [ date violation corrected: 7/12/2017 ]
4636,20161214,Unclean or degraded floors walls or ceilings  [ date violation corrected: 7/12/2017 ]
4636,20160405,Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 12/14/2016 ]
4636,20160405,Unclean or degraded floors walls or ceilings  [ date violation corrected: 12/14/2016 ]
4656,20171011,Inadequate warewashing facilities or equipment
4656,20171011,Unclean or degraded floors walls or ceilings
4656,20161011,Improper food storage  [ date violation corrected: 10/11/2017 ]
4656,20161011,Inadequate warewashing facilities or equipment  [ date violation corrected: 10/11/2017 ]
4656,20160411,Unclean or degraded floors walls or ceilings  [ date violation corrected: 10/11/2016 ]
4656,20160411,Food safety certificate or food handler card not available  [ date violation corrected: 10/11/2016 ]
4656,20160411,Improper or defective plumbing  [ date violation corrected: 10/11/2016 ]
4681,20180516,Inadequately cleaned or sanitized food contact surfaces
4681,20170901,Moderate risk food holding temperature   [ date violation corrected: 5/16/2018 ]
4804,20171120,Moderate risk vermin infestation  [ date violation corrected: 11/20/2017 ]
4804,20171120,Inadequate dressing rooms or improper storage of personal items  [ date violation corrected: 11/20/2017 ]
4804,20171120,Food safety certificate or food handler card not available
4804,20171120,Improper storage of equipment utensils or linens
4804,20161206,Improper or defective plumbing  [ date violation corrected: 11/20/2017 ]
4804,20161206,Inadequate food safety knowledge or lack of certified food safety manager  [ date violation corrected: 12/14/2016 ]
4804,20161206,Improper thawing methods   [ date violation corrected: 12/6/2016 ]
4804,20161206,Inadequate and inaccessible handwashing facilities  [ date violation corrected: 12/6/2016 ]
4804,20160627,Unclean hands or improper use of gloves  [ date violation corrected: 6/27/2016 ]
4804,20160627,Insufficient hot water or running water  [ date violation corrected: 6/28/2016 ]
4804,20160627,Inadequate food safety knowledge or lack of certified food safety manager  [ date violation corrected: 6/28/2016 ]
4804,20151113,Inadequate food safety knowledge or lack of certified food safety manager  [ date violation corrected: 6/27/2016 ]
4804,20151113,Inadequate or unsanitary refuse containers or area or no garbage service  [ date violation corrected: 6/27/2016 ]
4819,20171227,Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 12/27/2017 ]
4819,20171227,Improper storage use or identification of toxic substances  [ date violation corrected: 12/27/2017 ]
4819,20170103,Foods not protected from contamination  [ date violation corrected: 12/27/2017 ]
4819,20170103,Unclean or degraded floors walls or ceilings  [ date violation corrected: 12/27/2017 ]
4819,20170103,Improper storage of equipment utensils or linens  [ date violation corrected: 12/27/2017 ]
4819,20170103,Permit license or inspection report not posted  [ date violation corrected: 12/27/2017 ]
4819,20170103,Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 12/27/2017 ]
4841,20151030,High risk food holding temperature   [ date violation corrected: 12/5/2017 ]
4841,20151030,Unclean or degraded floors walls or ceilings  [ date violation corrected: 12/5/2017 ]
5000,20180629,Unclean or degraded floors walls or ceilings
5000,20170628,Moderate risk vermin infestation  [ date violation corrected: 6/28/2018 ]
5000,20170628,Unclean nonfood contact surfaces  [ date violation corrected: 6/28/2018 ]
5000,20170628,Unclean or degraded floors walls or ceilings  [ date violation corrected: 6/28/2018 ]
5000,20170628,Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 6/28/2017 ]
5000,20160624,Unclean or degraded floors walls or ceilings  [ date violation corrected: 6/28/2017 ]
5000,20160624,Inadequate warewashing facilities or equipment  [ date violation corrected: 6/28/2017 ]
5000,20160624,Permit license or inspection report not posted  [ date violation corrected: 6/28/2017 ]
5011,20180515,Inadequate and inaccessible handwashing facilities
5011,20171025,Inadequate warewashing facilities or equipment  [ date violation corrected: 5/15/2018 ]
5011,20171025,Unclean or degraded floors walls or ceilings  [ date violation corrected: 5/15/2018 ]
5011,20160902,Inadequate warewashing facilities or equipment  [ date violation corrected: 10/25/2017 ]
5011,20160902,Inadequate and inaccessible handwashing facilities  [ date violation corrected: 9/2/2016 ]
5011,20160902,Unclean nonfood contact surfaces  [ date violation corrected: 10/25/2017 ]
5011,20160301,No hot water or running water  [ date violation corrected: 3/3/2016 ]
5011,20160301,Unclean nonfood contact surfaces  [ date violation corrected: 9/2/2016 ]
5011,20160301,Permit license or inspection report not posted  [ date violation corrected: 9/2/2016 ]
5011,20160301,Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 3/3/2016 ]
5019,20180402,Unclean or degraded floors walls or ceilings
5019,20170428,Unclean or degraded floors walls or ceilings  [ date violation corrected: 4/2/2018 ]
5156,20180430,Inadequate and inaccessible handwashing facilities
5156,20180430,Low risk vermin infestation
5156,20170804,Inadequate and inaccessible handwashing facilities  [ date violation corrected: 8/18/2017 ]
5156,20170804,Improper storage of equipment utensils or linens  [ date violation corrected: 8/18/2017 ]
5156,20170804,Inadequate or unsanitary refuse containers or area or no garbage service  [ date violation corrected: 8/18/2017 ]
5156,20161024,Unclean or degraded floors walls or ceilings  [ date violation corrected: 8/4/2017 ]
5156,20161024,Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 8/4/2017 ]
5156,20161024,Insufficient hot water or running water  [ date violation corrected: 8/4/2017 ]
5156,20161024,Inadequate and inaccessible handwashing facilities  [ date violation corrected: 8/4/2017 ]
5156,20161024,Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 8/4/2017 ]
5430,20160525,Food safety certificate or food handler card not available  [ date violation corrected: 4/18/2017 ]
5434,20170418,Food safety certificate or food handler card not available  [ date violation corrected: 4/21/2017 ]
5434,20160622,Food safety certificate or food handler card not available  [ date violation corrected: 4/18/2017 ]
5441,20160819,Permit license or inspection report not posted  [ date violation corrected: 7/3/2018 ]
5441,20160819,Inadequate food safety knowledge or lack of certified food safety manager  [ date violation corrected: 7/3/2018 ]
5441,20150828,Inadequate and inaccessible handwashing facilities  [ date violation corrected: 8/19/2016 ]
5441,20150828,Food safety certificate or food handler card not available  [ date violation corrected: 8/19/2016 ]
5463,20170919,Unclean hands or improper use of gloves  [ date violation corrected: 9/19/2017 ]
5463,20170424,Improper storage of equipment utensils or linens  [ date violation corrected: 9/19/2017 ]
5463,20160814,No hot water or running water  [ date violation corrected: 9/12/2016 ]
5463,20160410,Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 8/14/2016 ]
5524,20161006,Improper storage of equipment utensils or linens  [ date violation corrected: 9/19/2017 ]
5524,20150830,No hot water or running water  [ date violation corrected: 4/10/2016 ]
5528,20160410,Insufficient hot water or running water  [ date violation corrected: 4/24/2017 ]
5544,20170424,Inadequate warewashing facilities or equipment  [ date violation corrected: 9/19/2017 ]
5544,20160410,Insufficient hot water or running water  [ date violation corrected: 4/24/2017 ]
5619,20170424,Inadequately cleaned or sanitized food contact surfaces
5619,20170424,Moderate risk vermin infestation
5619,20170424,Unapproved or unmaintained equipment or utensils
5619,20160410,Unclean or degraded floors walls or ceilings  [ date violation corrected: 4/24/2017 ]
5634,20170919,Unclean or degraded floors walls or ceilings
5634,20170919,Moderate risk food holding temperature   [ date violation corrected: 9/19/2017 ]
5634,20170919,Wiping cloths not clean or properly stored or inadequate sanitizer
5634,20170424,Unclean or degraded floors walls or ceilings  [ date violation corrected: 9/19/2017 ]
5634,20161011,Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 4/24/2017 ]
5634,20160814,Unapproved or unmaintained equipment or utensils  [ date violation corrected: 10/11/2016 ]
5634,20150914,Unclean or degraded floors walls or ceilings  [ date violation corrected: 4/19/2015 ]
5634,20150914,Inadequate warewashing facilities or equipment  [ date violation corrected: 4/19/2015 ]
5634,20150830,Inadequate and inaccessible handwashing facilities  [ date violation corrected: 9/20/2015 ]
5634,20150830,Insufficient hot water or running water  [ date violation corrected: 9/20/2015 ]
5634,20150830,Improper or defective plumbing  [ date violation corrected: 9/20/2015 ]
6636,20180417,Unclean or degraded floors walls or ceilings  [ date violation corrected: 6/13/2018 ]
6636,20180417,Low risk vermin infestation  [ date violation corrected: 6/13/2018 ]
6636,20180417,Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 6/13/2018 ]
6636,20180417,Inadequate and inaccessible handwashing facilities  [ date violation corrected: 6/13/2018 ]
6636,20180417,Inadequate warewashing facilities or equipment  [ date violation corrected: 6/13/2018 ]
6636,20170105,Inadequate warewashing facilities or equipment  [ date violation corrected: 4/17/2018 ]
6636,20170105,Unclean or degraded floors walls or ceilings  [ date violation corrected: 4/17/2018 ]
6636,20170105,Moderate risk vermin infestation  [ date violation corrected: 4/17/2018 ]
6636,20160621,Low risk vermin infestation  [ date violation corrected: 1/5/2017 ]
6636,20160621,Inadequate warewashing facilities or equipment  [ date violation corrected: 1/5/2017 ]
9155,20180328,Unclean or degraded floors walls or ceilings
9155,20161006,Unclean or degraded floors walls or ceilings  [ date violation corrected: 3/28/2018 ]
9155,20161006,Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 3/28/2018 ]
9155,20161006,Unclean unmaintained or improperly constructed toilet facilities  [ date violation corrected: 3/28/2018 ]
9289,20180803,Low risk vermin infestation
9289,20180803,Inadequate and inaccessible handwashing facilities
9289,20180803,High risk food holding temperature 
9289,20180803,Inadequately cleaned or sanitized food contact surfaces
